"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kase1253-2-one-1","numerals-kase1253-2","Chan2019","one",1,"kàlʊ̀","kalu","","false",NA,NA,NA
"2","numerals-kase1253-2-two-1","numerals-kase1253-2","Chan2019","two",2,"ǹlè","nle","","false",NA,NA,NA
"3","numerals-kase1253-2-three-1","numerals-kase1253-2","Chan2019","three",3,"ǹtɔ̀","nto","","false",NA,NA,NA
"4","numerals-kase1253-2-four-1","numerals-kase1253-2","Chan2019","four",4,"ǹnā","nna","","false",NA,NA,NA
"5","numerals-kase1253-2-five-1","numerals-kase1253-2","Chan2019","five",5,"ǹnū","nnu","","false",NA,NA,NA
"6","numerals-kase1253-2-six-1","numerals-kase1253-2","Chan2019","six",6,"ǹdʊ̀n","ndun","","false",NA,NA,NA
"7","numerals-kase1253-2-seven-1","numerals-kase1253-2","Chan2019","seven",7,"m̀pɛ̀","mpe","","false",NA,NA,NA
"8","numerals-kase1253-2-eight-1","numerals-kase1253-2","Chan2019","eight",8,"nānā","nana","","false",NA,NA,NA
"9","numerals-kase1253-2-nine-1","numerals-kase1253-2","Chan2019","nine",9,"nʊ̀ɡʊ̄","nugu","","false",NA,NA,NA
"10","numerals-kase1253-2-ten-1","numerals-kase1253-2","Chan2019","ten",10,"fúɡə́","fuga","","false",NA,NA,NA
"11","numerals-kase1253-2-eleven-1","numerals-kase1253-2","Chan2019","eleven",11,"fúɡə́-dìdʊ̀ā","fugadidua","","false",NA,NA,NA
"12","numerals-kase1253-2-twelve-1","numerals-kase1253-2","Chan2019","twelve",12,"fúɡə́-bə̀lè","fugabale","","false",NA,NA,NA
"13","numerals-kase1253-2-thirteen-1","numerals-kase1253-2","Chan2019","thirteen",13,"fúɡə́-bàtɔ̀","fugabato","","false",NA,NA,NA
"14","numerals-kase1253-2-fourteen-1","numerals-kase1253-2","Chan2019","fourteen",14,"fúɡə́-bànā","fugabana","","false",NA,NA,NA
"15","numerals-kase1253-2-fifteen-1","numerals-kase1253-2","Chan2019","fifteen",15,"fúɡə́-bànū","fugabanu","","false",NA,NA,NA
"16","numerals-kase1253-2-sixteen-1","numerals-kase1253-2","Chan2019","sixteen",16,"fúɡə́-bàr̀dʊ̀n","fugabardun","","false",NA,NA,NA
"17","numerals-kase1253-2-seventeen-1","numerals-kase1253-2","Chan2019","seventeen",17,"fúɡə́-bàr̀pɛ̀","fugabarpe","","false",NA,NA,NA
"18","numerals-kase1253-2-eighteen-1","numerals-kase1253-2","Chan2019","eighteen",18,"fúɡə́-nānā","fuganana","","false",NA,NA,NA
"19","numerals-kase1253-2-nineteen-1","numerals-kase1253-2","Chan2019","nineteen",19,"fúɡə́-nʊ̀ɡʊ̄","fuganugu","","false",NA,NA,NA
"20","numerals-kase1253-2-twenty-1","numerals-kase1253-2","Chan2019","twenty",20,"fíí-ǹlè","fiinle","","false",NA,NA,NA
"21","numerals-kase1253-2-twentyone-1","numerals-kase1253-2","Chan2019","twentyone",21,"fííǹlè-dìdʊ̀ā","fiinledidua","","false",NA,NA,NA
"22","numerals-kase1253-2-twentytwo-1","numerals-kase1253-2","Chan2019","twentytwo",22,"fííǹlè-bə̀lè","fiinlebale","","false",NA,NA,NA
"23","numerals-kase1253-2-twentythree-1","numerals-kase1253-2","Chan2019","twentythree",23,"fííǹlè-bàtɔ̀","fiinlebato","","false",NA,NA,NA
"24","numerals-kase1253-2-twentyfour-1","numerals-kase1253-2","Chan2019","twentyfour",24,"fííǹlè-bànā","fiinlebana","","false",NA,NA,NA
"25","numerals-kase1253-2-twentyfive-1","numerals-kase1253-2","Chan2019","twentyfive",25,"fííǹlè-bə̀nū","fiinlebanu","","false",NA,NA,NA
"26","numerals-kase1253-2-twentysix-1","numerals-kase1253-2","Chan2019","twentysix",26,"fííǹlè-bàr̀dʊ̀n","fiinlebardun","","false",NA,NA,NA
"27","numerals-kase1253-2-twentyseven-1","numerals-kase1253-2","Chan2019","twentyseven",27,"fííǹlè-bàr̀pɛ̀","fiinlebarpe","","false",NA,NA,NA
"28","numerals-kase1253-2-twentyeight-1","numerals-kase1253-2","Chan2019","twentyeight",28,"fííǹlè-nānā","fiinlenana","","false",NA,NA,NA
"29","numerals-kase1253-2-twentynine-1","numerals-kase1253-2","Chan2019","twentynine",29,"fííǹlè-nʊ̀ɡʊ̄","fiinlenugu","","false",NA,NA,NA
"30","numerals-kase1253-2-thirty-1","numerals-kase1253-2","Chan2019","thirty",30,"fíí-ǹtɔ̀","fiinto","","false",NA,NA,NA
"31","numerals-kase1253-2-forty-1","numerals-kase1253-2","Chan2019","forty",40,"fíí-ǹnā","fiinna","","false",NA,NA,NA
"32","numerals-kase1253-2-fifty-1","numerals-kase1253-2","Chan2019","fifty",50,"fíí-ǹnū","fiinnu","","false",NA,NA,NA
