"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-aona1235-1-one-1","numerals-aona1235-1","Chan2019","one",1,"ka","ka","","false",NA,NA,NA
"2","numerals-aona1235-1-two-1","numerals-aona1235-1","Chan2019","two",2,"ana","ana","","false",NA,NA,NA
"3","numerals-aona1235-1-three-1","numerals-aona1235-1","Chan2019","three",3,"asəm","asam","","false",NA,NA,NA
"4","numerals-aona1235-1-four-1","numerals-aona1235-1","Chan2019","four",4,"pəzɯ","pazw","","false",NA,NA,NA
"5","numerals-aona1235-1-five-1","numerals-aona1235-1","Chan2019","five",5,"pəŋu","pangu","","false",NA,NA,NA
"6","numerals-aona1235-1-six-1","numerals-aona1235-1","Chan2019","six",6,"trɔk","trok","","false",NA,NA,NA
"7","numerals-aona1235-1-seven-1","numerals-aona1235-1","Chan2019","seven",7,"tənət","tanat","","false",NA,NA,NA
"8","numerals-aona1235-1-eight-1","numerals-aona1235-1","Chan2019","eight",8,"ti","ti","","false",NA,NA,NA
"9","numerals-aona1235-1-nine-1","numerals-aona1235-1","Chan2019","nine",9,"təku","taku","","false",NA,NA,NA
"10","numerals-aona1235-1-ten-1","numerals-aona1235-1","Chan2019","ten",10,"tər","tar","","false",NA,NA,NA
"11","numerals-aona1235-1-eleven-1","numerals-aona1235-1","Chan2019","eleven",11,"tər ka","tarka","","false",NA,NA,NA
"12","numerals-aona1235-1-twelve-1","numerals-aona1235-1","Chan2019","twelve",12,"tər ana","tarana","","false",NA,NA,NA
"13","numerals-aona1235-1-thirteen-1","numerals-aona1235-1","Chan2019","thirteen",13,"tər asəm","tarasam","","false",NA,NA,NA
"14","numerals-aona1235-1-fourteen-1","numerals-aona1235-1","Chan2019","fourteen",14,"tər pəzɯ","tarpazw","","false",NA,NA,NA
"15","numerals-aona1235-1-fifteen-1","numerals-aona1235-1","Chan2019","fifteen",15,"tər pəŋu","tarpangu","","false",NA,NA,NA
"16","numerals-aona1235-1-sixteen-1","numerals-aona1235-1","Chan2019","sixteen",16,"tər trɔk","tartrok","","false",NA,NA,NA
"17","numerals-aona1235-1-seventeen-1","numerals-aona1235-1","Chan2019","seventeen",17,"tər tənət","tartanat","","false",NA,NA,NA
"18","numerals-aona1235-1-eighteen-1","numerals-aona1235-1","Chan2019","eighteen",18,"tər ti","tarti","","false",NA,NA,NA
"19","numerals-aona1235-1-nineteen-1","numerals-aona1235-1","Chan2019","nineteen",19,"tər təku","tartaku","","false",NA,NA,NA
"20","numerals-aona1235-1-twenty-1","numerals-aona1235-1","Chan2019","twenty",20,"mət͡sɯ","matsw","","false",NA,NA,NA
"21","numerals-aona1235-1-twentyone-1","numerals-aona1235-1","Chan2019","twentyone",21,"mət͡sɯr ka","matswrka","","false",NA,NA,NA
"22","numerals-aona1235-1-twentytwo-1","numerals-aona1235-1","Chan2019","twentytwo",22,"mət͡sɯr asəm","matswrasam","","false",NA,NA,NA
"23","numerals-aona1235-1-twentyfour-1","numerals-aona1235-1","Chan2019","twentyfour",24,"mət͡sɯr pəzɯ","matswrpazw","","false",NA,NA,NA
"24","numerals-aona1235-1-twentyfive-1","numerals-aona1235-1","Chan2019","twentyfive",25,"mət͡sɯr pəŋu","matswrpangu","","false",NA,NA,NA
"25","numerals-aona1235-1-twentysix-1","numerals-aona1235-1","Chan2019","twentysix",26,"mət͡sɯr trɔk","matswrtrok","","false",NA,NA,NA
"26","numerals-aona1235-1-twentyseven-1","numerals-aona1235-1","Chan2019","twentyseven",27,"mət͡sɯr tənət","matswrtanat","","false",NA,NA,NA
"27","numerals-aona1235-1-twentyeight-1","numerals-aona1235-1","Chan2019","twentyeight",28,"mət͡sɯr ti","matswrti","","false",NA,NA,NA
"28","numerals-aona1235-1-twentynine-1","numerals-aona1235-1","Chan2019","twentynine",29,"mət͡sɯr təku","matswrtaku","","false",NA,NA,NA
"29","numerals-aona1235-1-thirty-1","numerals-aona1235-1","Chan2019","thirty",30,"səmɯr","samwr","","false",NA,NA,NA
"30","numerals-aona1235-1-forty-1","numerals-aona1235-1","Chan2019","forty",40,"lir","lir","","false",NA,NA,NA
"31","numerals-aona1235-1-fifty-1","numerals-aona1235-1","Chan2019","fifty",50,"tənəm","tanam","","false",NA,NA,NA
"32","numerals-aona1235-1-sixty-1","numerals-aona1235-1","Chan2019","sixty",60,"rukɯr","rukwr","","false",NA,NA,NA
"33","numerals-aona1235-1-seventy-1","numerals-aona1235-1","Chan2019","seventy",70,"nətɯr","natwr","","false",NA,NA,NA
"34","numerals-aona1235-1-eighty-1","numerals-aona1235-1","Chan2019","eighty",80,"tir","tir","","false",NA,NA,NA
"35","numerals-aona1235-1-ninety-1","numerals-aona1235-1","Chan2019","ninety",90,"təkur","takur","","false",NA,NA,NA
"36","numerals-aona1235-1-hundred-1","numerals-aona1235-1","Chan2019","hundred",100,"nuklaŋ ka","nuklangka","","false",NA,NA,NA
"37","numerals-aona1235-1-twohundred-1","numerals-aona1235-1","Chan2019","twohundred",200,"nuklaŋ ana","nuklangana","","false",NA,NA,NA
"38","numerals-aona1235-1-thousand-1","numerals-aona1235-1","Chan2019","thousand",1000,"mərit͡ʃaŋ ka","maritsangka","","false",NA,NA,NA
"39","numerals-aona1235-1-twothousand-1","numerals-aona1235-1","Chan2019","twothousand",2000,"mərit͡ʃaŋ ana","maritsangana","","false",NA,NA,NA
