"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-maha1309-2-one-1","barlowpacific-maha1309-2","Barlow2024","one",1,"ray","ray","","false",NA,NA,NA
"2","barlowpacific-maha1309-2-two-1","barlowpacific-maha1309-2","Barlow2024","two",2,"rohé","rohe","","false",NA,NA,NA
"3","barlowpacific-maha1309-2-three-1","barlowpacific-maha1309-2","Barlow2024","three",3,"telŏ","telo","","false",NA,NA,NA
"4","barlowpacific-maha1309-2-four-1","barlowpacific-maha1309-2","Barlow2024","four",4,"efatsă","efatsa","","false",NA,NA,NA
"5","barlowpacific-maha1309-2-five-1","barlowpacific-maha1309-2","Barlow2024","five",5,"limé","lime","","false",NA,NA,NA
"6","barlowpacific-maha1309-2-six-1","barlowpacific-maha1309-2","Barlow2024","six",6,"enĕ","ene","","false",NA,NA,NA
"7","barlowpacific-maha1309-2-seven-1","barlowpacific-maha1309-2","Barlow2024","seven",7,"fitó","fito","","false",NA,NA,NA
"8","barlowpacific-maha1309-2-eight-1","barlowpacific-maha1309-2","Barlow2024","eight",8,"caló","calo","","false",NA,NA,NA
"9","barlowpacific-maha1309-2-nine-1","barlowpacific-maha1309-2","Barlow2024","nine",9,"sirý","siry","","false",NA,NA,NA
"10","barlowpacific-maha1309-2-ten-1","barlowpacific-maha1309-2","Barlow2024","ten",10,"foló","folo","","false",NA,NA,NA
"11","barlowpacific-maha1309-2-eleven-1","barlowpacific-maha1309-2","Barlow2024","eleven",11,"folo iraikambý","foloiraikamby","","false",NA,NA,NA
"12","barlowpacific-maha1309-2-twelve-1","barlowpacific-maha1309-2","Barlow2024","twelve",12,"foloroambý","foloroamby","","false",NA,NA,NA
"13","barlowpacific-maha1309-2-twenty-1","barlowpacific-maha1309-2","Barlow2024","twenty",20,"roa polŏ","roapolo","","false",NA,NA,NA
"14","barlowpacific-maha1309-2-thirty-1","barlowpacific-maha1309-2","Barlow2024","thirty",30,"telom polŏ","telompolo","","false",NA,NA,NA
"15","barlowpacific-maha1309-2-forty-1","barlowpacific-maha1309-2","Barlow2024","forty",40,"efá polŏ","efapolo","","false",NA,NA,NA
"16","barlowpacific-maha1309-2-fifty-1","barlowpacific-maha1309-2","Barlow2024","fifty",50,"limampolǒ","limampolo","","false",NA,NA,NA
"17","barlowpacific-maha1309-2-sixty-1","barlowpacific-maha1309-2","Barlow2024","sixty",60,"enim polŏ","enimpolo","","false",NA,NA,NA
"18","barlowpacific-maha1309-2-hundred-1","barlowpacific-maha1309-2","Barlow2024","hundred",100,"zató","zato","","false",NA,NA,NA
"19","barlowpacific-maha1309-2-thousand-1","barlowpacific-maha1309-2","Barlow2024","thousand",1000,"arivŏ","arivo","","false",NA,NA,NA
"20","barlowpacific-maha1309-2-tenthousand-1","barlowpacific-maha1309-2","Barlow2024","tenthousand",10000,"alínă iraý","alinairay","","false",NA,NA,NA
"21","barlowpacific-maha1309-2-onehundredthousand-1","barlowpacific-maha1309-2","Barlow2024","onehundredthousand",1e+05,"foloalĕ","foloale","","false",NA,NA,NA
