ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
numerals-wawa1246-1-one-1,numerals-wawa1246-1,Chan2019,one,1,mǒsī,mosi,,FALSE,1,,
numerals-wawa1246-2-one-2,numerals-wawa1246-2,Chan2019,one,1,mǒī,moi,,FALSE,1’,,
numerals-wawa1246-1-two-1,numerals-wawa1246-1,Chan2019,two,2,bə̀mbə́,bamba,,FALSE,2,,
numerals-wawa1246-1-three-1,numerals-wawa1246-1,Chan2019,three,3,tābə́,taba,,FALSE,3,,
numerals-wawa1246-1-four-1,numerals-wawa1246-1,Chan2019,four,4,nǎrə̄bə̀,naraba,,FALSE,4,,
numerals-wawa1246-1-five-1,numerals-wawa1246-1,Chan2019,five,5,téēnbə̄,teenba,,FALSE,5,,
numerals-wawa1246-1-six-1,numerals-wawa1246-1,Chan2019,six,6,té-mōī,temoi,( 5+ 1 ),FALSE,5’+1’,,
numerals-wawa1246-1-seven-1,numerals-wawa1246-1,Chan2019,seven,7,té-bə̀mbə́,tebamba,( 5+ 2 ),FALSE,5’+2,,
numerals-wawa1246-1-eight-1,numerals-wawa1246-1,Chan2019,eight,8,tén-tābə́,tentaba,( 5+ 3 ),FALSE,5’+3,,
numerals-wawa1246-1-nine-1,numerals-wawa1246-1,Chan2019,nine,9,té-nàrə̄bə́,tenaraba,( 5+ 4 ),FALSE,5’+4,,
numerals-wawa1246-1-ten-1,numerals-wawa1246-1,Chan2019,ten,10,tʃɔ́ŋ,tsong,,FALSE,10,,
numerals-wawa1246-1-ten-2,numerals-wawa1246-1,Chan2019,ten,10,bə̌ntə̄,banta,,FALSE,10’,,
numerals-wawa1246-1-eleven-1,numerals-wawa1246-1,Chan2019,eleven,11,tʃɔ́ŋ bá mǒī,tsongbamoi,,FALSE,10’+{LIG}1,,
numerals-wawa1246-1-twelve-1,numerals-wawa1246-1,Chan2019,twelve,12,tʃɔ́ŋ bá bə̀mbə́,tsongbabamba,,FALSE,10’+{LIG}2,,
numerals-wawa1246-1-thirteen-1,numerals-wawa1246-1,Chan2019,thirteen,13,tʃɔ́ŋ bá tābə́,tsongbataba,,FALSE,10’+{LIG}3,,
numerals-wawa1246-1-fourteen-1,numerals-wawa1246-1,Chan2019,fourteen,14,tʃɔ́ŋ bá nàrə̄bə́,tsongbanaraba,,FALSE,10’+{LIG}4,,
numerals-wawa1246-1-fifteen-1,numerals-wawa1246-1,Chan2019,fifteen,15,tʃɔ́ŋ bá téēnbə̄,tsongbateenba,,FALSE,10’+{LIG}5,,
numerals-wawa1246-1-sixteen-1,numerals-wawa1246-1,Chan2019,sixteen,16,tʃɔ́ŋ bá té-mōī,tsongbatemoi,,FALSE,10’+{LIG}5'+1',,
numerals-wawa1246-1-seventeen-1,numerals-wawa1246-1,Chan2019,seventeen,17,tʃɔ́ŋ bá té-bə̀mbə́,tsongbatebamba,,FALSE,10’+{LIG}5’+2,,
numerals-wawa1246-1-eighteen-1,numerals-wawa1246-1,Chan2019,eighteen,18,tʃɔ́ŋ bá tén-tābə́,tsongbatentaba,,FALSE,10’+{LIG}5’+3,,
numerals-wawa1246-1-nineteen-1,numerals-wawa1246-1,Chan2019,nineteen,19,tʃɔ́ŋ bá té-nàrə̄bə́,tsongbatenaraba,,FALSE,10’+{LIG}5’+4,,
numerals-wawa1246-1-twenty-1,numerals-wawa1246-1,Chan2019,twenty,20,nɡwɔ́ī mǒsī,ngwoimosi,,FALSE,20·1,,
numerals-wawa1246-1-twentyone-1,numerals-wawa1246-1,Chan2019,twentyone,21,nɡwɔ́ī mǒsī bá mǒī,ngwoimosibamoi,,FALSE,(20·1)+{LIG}1,,
numerals-wawa1246-1-twentytwo-1,numerals-wawa1246-1,Chan2019,twentytwo,22,nɡwɔ́ī mǒsī bá bə̀mbə́,ngwoimosibabamba,,FALSE,(20·1)+{LIG}2,,
numerals-wawa1246-1-twentythree-1,numerals-wawa1246-1,Chan2019,twentythree,23,nɡwɔ́ī mǒsī bá tābə́,ngwoimosibataba,,FALSE,(20·1)+{LIG}3,,
numerals-wawa1246-1-twentyfour-1,numerals-wawa1246-1,Chan2019,twentyfour,24,nɡwɔ́ī mǒsī bá nàrə̄bə́,ngwoimosibanaraba,,FALSE,(20·1)+{LIG}4,,
numerals-wawa1246-1-twentyfive-1,numerals-wawa1246-1,Chan2019,twentyfive,25,nɡwɔ́ī mǒsī bá téēnbə̄,ngwoimosibateenba,,FALSE,(20·1)+{LIG}5,,
numerals-wawa1246-1-twentysix-1,numerals-wawa1246-1,Chan2019,twentysix,26,nɡwɔ́ī mǒsī bá té-mōī,ngwoimosibatemoi,,FALSE,(20·1)+{LIG}5'+1',,
numerals-wawa1246-1-twentyseven-1,numerals-wawa1246-1,Chan2019,twentyseven,27,nɡwɔ́ī mǒsī bá té-bə̀mbə́,ngwoimosibatebamba,,FALSE,(20·1)+{LIG}5'+2,,
numerals-wawa1246-1-twentyeight-1,numerals-wawa1246-1,Chan2019,twentyeight,28,nɡwɔ́ī mǒsī bá tén-tābə́,ngwoimosibatentaba,,FALSE,(20·1)+{LIG}5’+3,,
numerals-wawa1246-1-twentynine-1,numerals-wawa1246-1,Chan2019,twentynine,29,nɡwɔ́ī mǒsī bá té-nàrə̄bə́,ngwoimosibatenaraba,,FALSE,(20·1)+{LIG}5’+4,,
numerals-wawa1246-1-thirty-1,numerals-wawa1246-1,Chan2019,thirty,30,nɡwɔ́ī mǒsī bá tʃɔ́ŋ,ngwoimosibatsong,( 20+ 10 ),FALSE,(20·1)+{and}10,,
numerals-wawa1246-1-forty-1,numerals-wawa1246-1,Chan2019,forty,40,nɡwɔ́ī bə̀mbə́,ngwoibamba,( 20 x 2 ),FALSE,20·2,,
numerals-wawa1246-1-fifty-1,numerals-wawa1246-1,Chan2019,fifty,50,nɡwɔ́ī bə̀mbə́ bá tʃɔ́ŋ,ngwoibambabatsong,( 20 x 2 + 10 ),FALSE,(20·2)+{and}10,,
numerals-wawa1246-1-sixty-1,numerals-wawa1246-1,Chan2019,sixty,60,nɡwɔ́ī tābə́,ngwoitaba,( 20 x 3 ),FALSE,20·3,,
numerals-wawa1246-1-seventy-1,numerals-wawa1246-1,Chan2019,seventy,70,nɡwɔ́ī tābə́ bá tʃɔ́ŋ,ngwoitababatsong,( 20 x 3 + 10 ),FALSE,(20·3)+{and}10,,
numerals-wawa1246-1-eighty-1,numerals-wawa1246-1,Chan2019,eighty,80,nɡwɔ́ī nàrə̄bə́,ngwoinaraba,( 20 x 4 ),FALSE,20·4,,
numerals-wawa1246-1-ninety-1,numerals-wawa1246-1,Chan2019,ninety,90,nɡwɔ́ī nàrə̄bə́ bá tʃɔ́ŋ,ngwoinarababatsong,( 20 x 4 + 10 ),FALSE,(20·4)+{and}10,,
numerals-wawa1246-1-hundred-1,numerals-wawa1246-1,Chan2019,hundred,100,nɡwɔ́ī téēnbə̄,ngwoiteenba,(archaic),FALSE,20·5,,
numerals-wawa1246-1-hundred-2,numerals-wawa1246-2,Chan2019,hundred,100,temere,temere,(Fulf.),TRUE,100,,
numerals-wawa1246-1-twohundred-1,numerals-wawa1246-1,Chan2019,twohundred,200,temere didi,temeredidi,,FALSE,100·2’,,
numerals-wawa1246-1-threehundred-1,numerals-wawa1246-1,Chan2019,threehundred,300,temere tati,temeretati,(Fulfulde),TRUE,100·3’,,
numerals-wawa1246-1-thousand-1,numerals-wawa1246-1,Chan2019,thousand,1000,há tʃɔ́ŋ,hatsong,(archaic),FALSE,100·10,,
numerals-wawa1246-1-thousand-2,numerals-wawa1246-2,Chan2019,thousand,1000,ujinere,ujinere,(Fulfulde),TRUE,1000,,
numerals-wawa1246-1-twothousand-1,numerals-wawa1246-1,Chan2019,twothousand,2000,ujinere didi,ujineredidi,,FALSE,1000·2’,,
